id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,number_of_reviews_ltm,type,stay_category
741021132366080916,Din Daeng,13.76374,100.55998,Entire home/apt,1300,2,3,3,booked,short-term
741023110607690347,Din Daeng,13.76539,100.5598,Entire home/apt,1200,2,0,0,not booked,short-term
741040371852406640,Ratchathewi,13.75094,100.52889,Private room,2000,1,0,0,not booked,short-term
741041921606655289,Vadhana,13.74478,100.55545,Entire home/apt,2020,2,4,4,booked,short-term
741048896091030698,Vadhana,13.74539,100.55552,Entire home/apt,2127,2,10,10,booked,short-term
741055433688127103,Vadhana,13.74567,100.55595,Entire home/apt,1896,2,5,5,booked,short-term
741061422895015174,Vadhana,13.74369,100.5557,Entire home/apt,2043,2,3,3,booked,short-term
741067330230525246,Vadhana,13.74405,100.55772,Entire home/apt,1865,2,5,5,booked,short-term
741135297487684325,Khlong Toei,13.72758,100.56349,Entire home/apt,1200,30,0,0,not booked,long-term
741166845226321864,Vadhana,13.7370692645951,100.56120860397498,Private room,2429,1,9,9,booked,short-term
741186764745879006,Vadhana,13.73445,100.58403,Private room,6429,1,0,0,not booked,short-term
741463248996037993,Bang Rak,13.72213,100.52481,Entire home/apt,4588,10,1,1,booked,medium-term
741469990354909976,Bang Rak,13.72051,100.52482,Entire home/apt,4588,10,2,2,booked,medium-term
741474276388805633,Bang Rak,13.72065,100.525,Entire home/apt,4588,10,1,1,booked,medium-term
741484629398151456,Sathon,13.71997,100.52705,Entire home/apt,4188,10,0,0,not booked,medium-term
741564569246040996,Khlong Toei,13.73401,100.55849,Entire home/apt,1780,1,8,8,booked,short-term
741567434280760093,Khlong Toei,13.73583,100.55877,Entire home/apt,1780,1,10,10,booked,short-term
741570647703941879,Khlong Toei,13.73393,100.55884,Entire home/apt,3400,1,12,12,booked,short-term
